Gene_ID,352_E1,352_E2,352_E3,352_E6,354_E1,354_E2,354_E3,354_E6,366_E1,366_E2,366_E3,366_E6,371_E1,371_E2,371_E3,371_E6,373_E1,373_E2,373_E3,373_E6,379_E1,379_E2,379_E3,379_E6,380_E1,380_E2,380_E3,380_E6,381_E1,381_E2,381_E3,381_E6,382_E1,382_E2,382_E3,382_E6,383_E1,383_E2,383_E6,387_E1,387_E2,387_E3,387_E6,388_E1,388_E2,388_E3,388_E6,391_E1,391_E2,391_E3,391_E6,394_E1,394_E2,394_E3,394_E6,396_E1,396_E2,396_E3,396_E6,406_E1,406_E2,406_E3,406_E6,407_E1,407_E2,407_E3,407_E6,408_E1,408_E2,408_E3,408_E6,409_E1,409_E2,409_E3,409_E6,410_E1,410_E2,410_E3,410_E6,413_E1,413_E2,413_E3,413_E6,415_E1,415_E2,415_E3,415_E6,416_E1,416_E2,416_E3,416_E6,421_E1,421_E3,421_E6,428_E1,428_E2,429_E1,429_E2,429_E3,429_E6,437_E1,437_E2,437_E3,437_E6,438_E1,438_E2,438_E3,438_E6,442_E1,442_E2,442_E3,442_E6,445_E1,445_E2
hsa-let-7a-2-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7a-5p,13029,151,12,3431,124,152,25,253,217,90,0,6,3388,2,12090,25,28922,14836,693,4008,0,0,330,238,136,37,69,11,24,356,733,425,4144,78,22,4131,92,868,82,10,27,220,48,108,3,60,76,122,369,245,207,29952,233,103,290,171,1267,1426,89,1570,68,66,66,281,1326,364,1411,406,0,1,30,640,825,1029,2714,2317,1848,0,466,19717,7028,2819,20116,103,55,12,676,594,444,3251,8,4103,27,14738,367,17518,2559,1496,9,1133,46,1,1115,3965,2984,14992,3721,5299,3547,4499,564,647,6044,1072
hsa-let-7b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7b-5p,17546,76,7,2202,616,95,14,196,12,188,0,1,4416,166,3322,501,15140,9985,331,3077,0,54,138,326,5,1,94,11,168,67,20,0,1318,342,3,1145,564,27,32,10,29,67,1,4,0,3,164,84,24,93,22,20,144,16,147,0,183,637,12,204,12,12,7,376,170,433,184,1180,0,35,33,406,73,268,760,2214,587,0,295,5824,1189,2194,7286,80,25,237,244,5,2819,2339,825,1850,133,22558,667,10018,2001,1035,9,713,628,2,186,2552,543,14013,1010,7289,2518,3111,263,409,2481,1820
hsa-let-7c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7c-5p,13,2,0,1,552,12,0,1,0,0,1,0,6,0,18,1,702,356,51,123,0,0,41,22,1,0,12,11,1,75,0,1,9,0,0,47,1,8,0,2,0,0,2,2,0,0,1,1,7,4,6,10,6,5,8,0,11,0,5,2190,5,6,6,1,52,117,69,1,0,1,0,157,5,10,7,125,122,0,55,395,6,3,63,109,0,0,2,1,480,7,575,1622,228,1142,4,2082,1303,84,2,597,3,2,6,1232,548,7665,1787,1931,319,297,12,0,464,503
hsa-let-7d-3p,1,1,0,55,0,2,0,0,0,0,0,0,0,0,8,0,0,357,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,1,3,0,0,0,0,0,0,1,1,142,0,0,0,1,510,0,522,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,5,358,0,0,0,254,0,0,0,0,75,2
hsa-let-7d-5p,2615,10,1,219,2,7,0,0,0,1,0,3,320,1,142,1,618,1113,29,8,0,0,9,28,0,0,34,0,0,1,0,0,1,0,0,108,1,2,1,3,0,0,0,0,0,8,0,0,0,1,3,1,1,0,0,0,2,0,0,0,1,0,0,1,3,1,3,131,0,10,0,0,0,1,111,0,0,0,0,817,5,3,779,0,0,2,33,0,0,1,4,669,1,534,2,1408,2,53,2,49,1,0,23,761,3,4281,70,452,0,424,24,0,610,256
hsa-let-7e-3p,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
