Timepoint,miRNA,baseMean,log2FoldChange,padj
75 min Post-AAE vs Pre-AAE,hsa-miR-217-3p,6.4,3.52,0.034
75 min Post-AAE vs Pre-AAE,hsa-miR-3682-3p,17.1,2.74,0.034
75 min Post-AAE vs Pre-AAE,hsa-miR-649,18.1,2.59,0.034
75 min Post-AAE vs Pre-AAE,hsa-miR-7851-3p,22.2,2.31,0.034
75 min Post-AAE vs Pre-AAE,hsa-miR-1246,71.3,2.09,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-143-3p,720.1,1.71,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-148b-3p,60.1,1.86,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-196b-3p,44.6,2.45,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-3675-5p,38.9,-1.16,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-3917,15.7,2.5,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-3921,18.3,2.56,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-4423-3p,30.9,2.23,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-4772-3p,23.5,-2.44,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-5579-3p,182.8,2.36,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-6850-3p,105.3,1.85,0.054
75 min Post-AAE vs Pre-AAE,hsa-miR-579-3p,7.6,2.05,0.06
75 min Post-AAE vs Pre-AAE,hsa-miR-7158-3p,31,-1.87,0.06
75 min Post-AAE vs Pre-AAE,hsa-miR-1252-3p,44.3,-2.2,0.071
75 min Post-AAE vs Pre-AAE,hsa-miR-1273h-3p,22.3,2.36,0.071
75 min Post-AAE vs Pre-AAE,hsa-miR-3683,11.7,2.47,0.071
75 min Post-AAE vs Pre-AAE,hsa-miR-4433b-3p,90.4,2,0.071
75 min Post-AAE vs Pre-AAE,hsa-miR-512-5p,20.6,2,0.071
75 min Post-AAE vs Pre-AAE,hsa-miR-126-3p,56.5,2.17,0.076
75 min Post-AAE vs Pre-AAE,hsa-miR-23b-3p,17.9,2.69,0.076
75 min Post-AAE vs Pre-AAE,hsa-miR-655-3p,10,2.74,0.076
75 min Post-AAE vs Pre-AAE,hsa-miR-5701,2.5,2.38,0.077
75 min Post-AAE vs Pre-AAE,hsa-miR-30e-5p,21.7,2.15,0.079
75 min Post-AAE vs Pre-AAE,hsa-let-7c-3p,10.3,2.61,0.097
75 min Post-AAE vs Pre-AAE,hsa-miR-520d-5p,6.4,-2.59,0.097
75 min Post-AAE vs Pre-AAE,hsa-miR-575,6.2,2.4,0.097
