Timepoint,miRNA,baseMean,log2FoldChange,padj
Mid-AAE vs Pre-AAE,hsa-miR-3618,22.6,-3.01,0.0055
Mid-AAE vs Pre-AAE,hsa-miR-1288-5p,17.8,2.44,0.027
Mid-AAE vs Pre-AAE,hsa-miR-148a-5p,11.8,-2.92,0.027
Mid-AAE vs Pre-AAE,hsa-miR-212-5p,18.2,-2.83,0.027
Mid-AAE vs Pre-AAE,hsa-miR-542-3p,17.9,-2.77,0.03
Mid-AAE vs Pre-AAE,hsa-miR-329-5p,15.6,-2.62,0.034
Mid-AAE vs Pre-AAE,hsa-miR-380-3p,5.9,2.91,0.034
Mid-AAE vs Pre-AAE,hsa-miR-5007-5p,81.4,-2.22,0.034
Mid-AAE vs Pre-AAE,hsa-miR-6861-5p,101.2,-2.04,0.034
Mid-AAE vs Pre-AAE,hsa-miR-7154-5p,17.4,-2.28,0.034
Mid-AAE vs Pre-AAE,hsa-miR-1252-3p,44.3,-2.34,0.042
Mid-AAE vs Pre-AAE,hsa-miR-6720-3p,14,-2.3,0.043
Mid-AAE vs Pre-AAE,hsa-miR-137-3p,9.2,-3.19,0.047
Mid-AAE vs Pre-AAE,hsa-miR-4496,6.8,-2.62,0.047
Mid-AAE vs Pre-AAE,hsa-miR-6780a-3p,15.4,-2.2,0.047
Mid-AAE vs Pre-AAE,hsa-miR-3140-3p,18.9,-2.02,0.056
Mid-AAE vs Pre-AAE,hsa-miR-6887-5p,74.7,-1.62,0.056
Mid-AAE vs Pre-AAE,hsa-miR-3155a,34.8,-2.09,0.062
Mid-AAE vs Pre-AAE,hsa-miR-6783-5p,59.1,-1.88,0.063
Mid-AAE vs Pre-AAE,hsa-miR-3182,15,2.49,0.065
Mid-AAE vs Pre-AAE,hsa-miR-3605-3p,19.3,-1.5,0.065
Mid-AAE vs Pre-AAE,hsa-miR-627-3p,6.3,-2.66,0.065
Mid-AAE vs Pre-AAE,hsa-miR-1267,23.8,-2.03,0.067
Mid-AAE vs Pre-AAE,hsa-miR-520d-5p,6.4,-2.68,0.067
Mid-AAE vs Pre-AAE,hsa-miR-657,72,-1.6,0.07
Mid-AAE vs Pre-AAE,hsa-miR-6499-5p,268.2,-1.19,0.074
Mid-AAE vs Pre-AAE,hsa-miR-6814-5p,8.9,-2.18,0.074
Mid-AAE vs Pre-AAE,hsa-miR-450a-2-3p,19.1,-2.22,0.077
Mid-AAE vs Pre-AAE,hsa-miR-4681,31.1,1.96,0.08
Mid-AAE vs Pre-AAE,hsa-miR-10399-5p,19.7,-2.23,0.09
Mid-AAE vs Pre-AAE,hsa-miR-1273c,24,-2.04,0.09
Mid-AAE vs Pre-AAE,hsa-miR-224-5p,23.6,-1.66,0.09
Mid-AAE vs Pre-AAE,hsa-miR-4763-3p,33.6,-1.78,0.09
Mid-AAE vs Pre-AAE,hsa-miR-4796-3p,20.8,2.15,0.091
Mid-AAE vs Pre-AAE,hsa-miR-8080,21.4,-1.94,0.096
Mid-AAE vs Pre-AAE,hsa-miR-3651,51,-1.37,0.098
Mid-AAE vs Pre-AAE,hsa-miR-548az-5p,4.9,2.27,0.098
Mid-AAE vs Pre-AAE,hsa-miR-3650,7.9,-2.25,0.099
Mid-AAE vs Pre-AAE,hsa-miR-609,46.8,-1.7,0.099
Mid-AAE vs Pre-AAE,hsa-miR-6845-5p,17.8,-1.75,0.099
Mid-AAE vs Pre-AAE,hsa-miR-6744-3p,26.3,-1.81,0.1
