miRNA,352_E1,379_E6,388_E6,408_E3,421_E3,352_E2,380_E1,391_E1,408_E6,421_E6,352_E3,380_E2,391_E2,409_E1,428_E1,352_E6,380_E3,391_E3,409_E2,428_E2,354_E1,380_E6,391_E6,409_E3,429_E1,354_E2,381_E1,394_E1,409_E6,429_E2,354_E3,381_E2,394_E2,410_E1,429_E3,354_E6,381_E3,394_E3,410_E2,429_E6,366_E1,381_E6,394_E6,410_E3,437_E1,366_E2,382_E1,396_E1,410_E6,437_E2,366_E3,382_E2,396_E2,413_E1,437_E3,366_E6,382_E3,396_E3,413_E2,437_E6,371_E1,382_E6,396_E6,413_E3,438_E1,371_E2,383_E1,406_E1,413_E6,438_E2,371_E3,383_E2,406_E2,415_E1,438_E3,371_E6,383_E6,406_E3,415_E2,438_E6,373_E1,387_E1,406_E6,415_E3,442_E1,373_E2,387_E2,407_E1,415_E6,442_E2,373_E3,387_E3,407_E2,416_E1,442_E3,373_E6,387_E6,407_E3,416_E2,442_E6,379_E1,388_E1,407_E6,416_E3,445_E2,379_E2,388_E2,408_E1,416_E6,445_E3,379_E3,388_E3,408_E2,421_E1,445_E1
hsa-let-7a-2-3p,188,0,4,0,60,1,3,23,8,730,0,0,2,47,10,14,4,47,90,2,196,2,4,4,0,1,8,3,33,17,0,1327,3,0,0,0,12,3,4,205,0,10,3,0,1,0,2834,0,7,3,0,8,33,1,6,0,15,0,0,51,44,3,1,36,2,0,280,14,130,108,84,33,55,1,26,0,12,59,4,95,30,7,24,0,71,31,1,33,39,1,4,29,14,0,5,233,2,78,48,0,0,6,32,0,33,0,0,33,0,24,1,19,1,0,59
hsa-let-7a-3p,1,0,42,10,41,0,88,72,17,364,0,6,210,140,49,30,36,183,213,189,710,6,93,292,441,2,161,119,153,369,0,103,96,162,1,0,325,206,26,269,0,0,48,1,613,0,3169,13,13,45,0,4,87,68,159,1,28,7,59,20,24,164,49,3,274,0,895,62,113,351,267,902,74,45,97,0,38,265,10,168,40,65,16,31,70,174,47,67,30,163,10,117,408,11,9,122,93,313,105,96,0,129,889,97,93,1,19,87,91,57,1,14,0,2,58
hsa-let-7a-5p,13457,241,76,1,138,155,138,153,30,15018,12,38,390,662,384,3459,106,269,857,20042,125,11,219,1061,2588,155,25,37040,2769,1537,25,361,246,2334,9,258,754,258,1883,1294,219,426,302,0,46,93,4201,171,763,17,5,86,1339,19842,1177,7,23,1436,7090,4001,3446,4173,108,3281,3067,2,98,1661,20416,15132,12212,954,95,105,4541,25,84,105,60,5943,29209,13,85,17,3591,15592,27,287,729,4534,704,230,1976,599,576,4062,49,474,617,716,0,108,1637,3276,1093,0,233,420,15,2335,379,65,1,4136,6123
hsa-let-7b-3p,3,4,0,0,0,0,0,0,0,1,0,0,1,0,1,18,1,1,0,2,60,0,2,117,1,1,1,2,2,5,0,22,64,1,0,0,0,2,0,3,0,0,0,0,2,0,12,0,0,0,0,6,0,0,2,0,1,0,0,0,0,2,1,1,0,0,4,2,23,1,2,7,0,0,1,125,0,21,6,184,1,0,0,0,0,32,1,1,8,0,0,61,11,0,0,64,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
hsa-let-7b-5p,17729,330,176,35,252,80,7,317,35,25197,7,1,28,410,692,2230,97,137,143,10137,2258,11,26,282,2035,102,216,82,773,1269,14,74,146,2234,12,198,26,163,611,733,12,0,154,1,631,190,1522,0,308,18,3,348,202,5888,194,1,3,646,1361,2581,4485,1214,23,2252,614,166,601,220,7638,14171,3383,51,70,192,1326,508,34,16,53,7428,16105,12,9,242,2560,10273,29,380,510,3145,371,71,630,6,268,3154,8,528,3487,438,0,4,223,2376,1848,54,1,1202,840,2336,170,7,70,1881,2528
hsa-let-7c-3p,2,1,2,0,0,1,6,2,1,71,0,0,5,2,1,0,0,1,21,1,182,2,1,15,0,3,0,92,1,504,0,2,0,0,0,9,6,43,0,213,0,4,0,0,1,0,529,0,25,0,0,3,3,0,5,0,0,0,30,1,151,1,1,0,0,0,62,2,135,4,188,13,0,0,2,2,0,2,0,1,0,3,20,0,0,118,20,0,38,0,0,7,9,0,12,63,0,3,0,0,0,2,12,1,0,0,0,1,109,0,0,2,0,0,0
hsa-let-7c-5p,1168,30,3,1,273,7,1,14,0,1344,1,1,15,163,14,480,12,8,32,2188,565,12,9,39,1315,21,89,21,125,116,0,80,11,128,4,3,4,10,124,1148,2,1,14,0,9,0,36,2,56,16,8,2,21,399,381,2,0,0,2271,1250,1086,48,16,40,620,0,14,2231,202,13294,74,12,23,113,2223,3,0,25,54,2024,1133,2,188,3,328,825,0,4,52,305,61,2,537,1,13,594,2,297,669,88,0,2,110,76,441,0,0,316,586,795,49,15,1,1646,583
hsa-let-7d-3p,9,0,97,9,48,3,1,0,1,300,0,0,59,82,19,160,2,8,0,640,22,0,2,43,176,5,3,5,3,24,0,111,4,311,5,0,4,2,26,61,0,1,0,0,12,0,727,1,19,0,0,10,100,96,12,1,0,0,514,404,243,103,2,1,0,0,206,15,922,934,20,21,66,46,121,68,57,2,19,1001,158,1,42,0,90,403,2,0,90,156,42,28,34,10,11,507,10,146,3,131,0,2,30,0,112,0,1,204,59,211,9,2,0,174,134
hsa-let-7d-5p,2637,28,2,10,45,10,2,7,1,555,1,0,2,0,6,220,34,2,2,1429,534,0,5,6,3,8,28,5,114,56,0,74,2,2,2,0,7,1,0,53,0,0,0,0,1,1,6,0,0,2,2,1,4,830,26,3,1,0,5,765,355,111,1,16,67,1,8,4,914,4324,150,6,22,0,116,1,1,1,0,479,624,5,0,2,1,1152,0,157,136,427,37,27,213,0,25,97,0,3,49,1,0,2,18,3,257,0,1,247,5,58,11,13,0,980,621
hsa-let-7e-3p,327,0,0,0,239,426,0,0,0,174,0,0,3,38,0,0,0,0,21,5,2,0,0,1,208,3,0,0,29,6,0,4,0,0,1,0,0,1,7,2,111,0,2,0,73,0,4,0,0,4,0,19,6,3,11,1,2,0,32,68,218,6,0,0,2,0,2,6,138,1,15,5,1,0,0,0,17,0,0,2,9,0,31,0,86,197,0,58,5,1,8,23,10,0,0,238,1,73,96,0,0,0,9,0,20,0,0,1,0,60,0,0,5,0,11
hsa-let-7e-5p,130,18,1,0,0,10,1,2,2,9,0,0,75,1,37,118,3,2,1,2139,174,0,3,142,39,4,1,29,1,30,91,2,9,166,0,0,4,4,47,136,1,0,5,0,0,0,657,1,1,0,0,13,8,396,14,0,0,3,507,439,4,1,3,2,257,0,8,32,12,2004,35,6,0,24,2,0,63,1,1,91,1338,1,1,1,145,1029,8,1,59,220,19,54,270,2,10,473,1,245,1,2,0,63,30,1,181,0,0,9,13,65,0,0,0,581,288
hsa-let-7f-1-3p,10,1,32,8,47,3,100,100,9,382,0,14,223,140,72,17,24,413,193,839,1015,8,93,411,452,7,168,244,162,375,0,136,105,152,2,0,335,171,46,274,1,0,51,0,493,0,2708,20,19,48,0,9,86,90,186,0,26,4,58,18,113,172,71,114,268,0,889,52,127,328,278,953,134,46,84,1,71,372,12,138,35,76,26,30,90,218,81,98,28,276,8,192,400,6,1,157,72,343,110,112,0,137,965,86,71,0,22,84,122,57,0,18,0,10,46
