Timepoint,Category,n
Mid-AAE,Adhesion & Junction,1
Mid-AAE,Cell Signaling,3
Mid-AAE,Dendrite & Synapse,3
Mid-AAE,Development & Growth,1
Mid-AAE,RNA & Chromatin,12
Post-AAE,Axon & Projection,4
Post-AAE,Dendrite & Synapse,8
Post-AAE,Learning & Behavior,1
Post-AAE,Neuronal Development,5
Post-AAE,RNA & Chromatin,1
Post-AAE,Synaptic Transmission,1
75 min Post-AAE,Cell Signaling,2
75 min Post-AAE,Development & Growth,2
75 min Post-AAE,General Regulation,5
75 min Post-AAE,Ion Transport,1
75 min Post-AAE,Neuronal Development,4
75 min Post-AAE,RNA & Chromatin,3
75 min Post-AAE,Synaptic Transmission,3
