Timepoint,Term,genes,FoldEnrichment,Pvalue,Category
Mid-AAE,regulation of hippo signaling,29,2.4,0.00159,Cell Signaling
Mid-AAE,"regulation of alternative mRNA splicing, via spliceosome",38,2.07,0.00701,RNA & Chromatin
Mid-AAE,post-embryonic development,51,2.02,2.81e-4,Development & Growth
Mid-AAE,mRNA stabilization,40,2,0.0108,RNA & Chromatin
Mid-AAE,mRNA destabilization,49,1.98,9.14e-4,RNA & Chromatin
Mid-AAE,negative regulation of mRNA catabolic process,46,1.97,0.00319,RNA & Chromatin
Mid-AAE,regulation of mRNA stability,99,1.94,1.89e-9,RNA & Chromatin
Mid-AAE,RNA destabilization,50,1.94,0.00175,RNA & Chromatin
Mid-AAE,positive regulation of mRNA catabolic process,55,1.94,5.52e-4,RNA & Chromatin
Mid-AAE,protein localization to cell junction,47,1.9,0.00783,Adhesion & Junction
Mid-AAE,regulation of translational initiation,48,1.9,0.00906,RNA & Chromatin
Mid-AAE,dendrite development,57,1.89,8.79e-4,Dendrite & Synapse
Mid-AAE,RNA stabilization,44,1.88,0.0261,RNA & Chromatin
Mid-AAE,regulation of RNA stability,102,1.87,1.66e-8,RNA & Chromatin
Mid-AAE,regulation of postsynapse organization,69,1.85,1.23e-4,Dendrite & Synapse
Mid-AAE,negative regulation of RNA catabolic process,50,1.85,0.013,RNA & Chromatin
Mid-AAE,regulation of dendrite development,48,1.85,0.0254,Dendrite & Synapse
Mid-AAE,positive regulation of mRNA metabolic process,64,1.85,4.08e-4,RNA & Chromatin
Mid-AAE,negative regulation of transforming growth factor beta receptor signaling pathway,46,1.84,0.0323,Cell Signaling
Mid-AAE,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,74,1.84,4.58e-5,Cell Signaling
Mid-AAE,synapse assembly,65,1.83,5.47e-4,Dendrite & Synapse
Mid-AAE,regulation of mRNA catabolic process,105,1.82,7.15e-8,RNA & Chromatin
Mid-AAE,regulation of synapse assembly,86,1.81,7.38e-6,Dendrite & Synapse
Mid-AAE,regulation of synapse organization,150,1.78,2.78e-11,Dendrite & Synapse
Mid-AAE,regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,128,1.76,8.3e-9,Cell Signaling
Mid-AAE,regulation of synapse structure or activity,151,1.76,5.84e-11,Dendrite & Synapse
Mid-AAE,response to transforming growth factor beta,69,1.75,0.00176,Cell Signaling
Mid-AAE,negative regulation of translation,62,1.74,0.0107,RNA & Chromatin
Mid-AAE,cellular response to transforming growth factor beta stimulus,64,1.7,0.0189,Cell Signaling
Mid-AAE,regulation of protein localization to membrane,79,1.7,0.00157,Other
Mid-AAE,regulation of transforming growth factor beta receptor signaling pathway,63,1.69,0.0294,Cell Signaling
Mid-AAE,regulation of cellular response to transforming growth factor beta stimulus,64,1.68,0.0362,Cell Signaling
