"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",2094.49463492103,2.72964123755492,0.595625511025815,4.58281451520402,4.58758948434712e-06,0.00475743144220593
"hsa-miR-1197",6.53480765094926,-2.7645962095488,0.843755595319806,-3.27653674225525,0.00105088638379046,0.0901588042369192
"hsa-miR-1224-3p",16.8332909698609,2.22186778008337,0.668533968616564,3.32349272346058,0.000888977419728759,0.0850683007801981
"hsa-miR-1282",9.0775903743801,-2.50763582852539,0.758111110370246,-3.30774182599793,0.000940514709253546,0.0866666887638083
"hsa-miR-1914-5p",33.109254032145,-1.78399870908231,0.552487089433737,-3.22903239406153,0.00124209824290545,0.098816439954844
"hsa-miR-206",140.088493821864,-2.41151614259361,0.723236567635931,-3.33433934414603,0.000855022765330029,0.0850683007801981
"hsa-miR-2278",12.9445363761731,-3.03800766883581,0.802644711433251,-3.78499680563641,0.000153710552851664,0.0347665323177219
"hsa-miR-29a-5p",11.364529337441,-2.38778702827474,0.74098277240109,-3.22245957289577,0.00127095099620378,0.098816439954844
"hsa-miR-3182",15.0085096189427,-3.69055997061801,0.763463254807798,-4.83397196574589,1.33835441969083e-06,0.00332982579619078
"hsa-miR-34b-5p",21.8457074634577,-2.44344759108098,0.602274870218697,-4.0570306215727,4.97005678089006e-05,0.0154568765885681
"hsa-miR-3618",22.6261692560531,-2.34219601780169,0.623766283882377,-3.75492564815087,0.000173392943151921,0.035950136880165
"hsa-miR-3928-5p",19.1354454368328,-2.67553428220578,0.694655215698991,-3.85160036481342,0.000117348416928402,0.032440317924207
"hsa-miR-4472",54.336970383998,1.69701222258573,0.508193606070001,3.33930258530639,0.000839890242763435,0.0850683007801981
"hsa-miR-4659a-5p",7.96775048948521,-2.68334529035479,0.617002925640408,-4.34899929780665,1.3676015012762e-05,0.00680518507035037
"hsa-miR-4677-5p",24.4035203329306,-2.67908785868882,0.60638127762187,-4.41815728413611,9.9545971191146e-06,0.00619175940808928
"hsa-miR-4684-3p",91.9648204546109,1.88741705993607,0.550903071198887,3.42604200014466,0.000612445671475533,0.0761882415315563
"hsa-miR-4708-3p",10.4888885705549,-3.59608963240441,0.792810166520031,-4.53587729353816,5.73645270362452e-06,0.00475743144220593
"hsa-miR-4710",29.2926683451298,2.04196264614532,0.626970845750934,3.25687017184927,0.00112647943019905,0.0934226940778412
"hsa-miR-4739",53.4051017373357,-1.61333812590662,0.470405740039824,-3.42967355323946,0.000604307823475383,0.0761882415315563
"hsa-miR-504-5p",20.4950968775992,2.65346917392918,0.741140199321585,3.58025266522863,0.00034326212709974,0.0569357448149436
"hsa-miR-513a-3p",7.89659344957569,2.3279924347081,0.661506794082714,3.5192267948453,0.000432806549625973,0.0633425114982013
"hsa-miR-5196-3p",45.2858560558842,-2.19573874114244,0.511414238196874,-4.293464235341,1.75906661444958e-05,0.00729426289458424
"hsa-miR-5579-3p",182.765717795856,2.30034715857696,0.671195801974129,3.42723710698301,0.000609756398638007,0.0761882415315563
"hsa-miR-5586-3p",11.2214377860053,-2.91739887261578,0.804027901146912,-3.6284796441196,0.000285095224309607,0.0506654941487359
"hsa-miR-6766-5p",9.79467504957142,-2.35492089722781,0.567355741888258,-4.15069545148204,3.31466574773535e-05,0.0117812691148079
"hsa-miR-6779-3p",32.8040597791214,-2.38045904424653,0.668588400423466,-3.56042528218977,0.000370254655695411,0.0575745989606364
"hsa-miR-6793-3p",30.9866271790591,1.97292392395352,0.592499329400512,3.32983317626657,0.000868980309312841,0.0850683007801981
"hsa-miR-6838-5p",19.0094243916394,-2.61326631025092,0.769666221775305,-3.39532415002335,0.000685473918569408,0.0812123385428899
"hsa-miR-708-5p",14.6693851454502,-2.85557472936971,0.746427853684522,-3.82565403377433,0.000130425351842665,0.0324498275384549
"hsa-miR-7156-5p",8.77067654313203,-3.0022609914546,0.816375490323639,-3.67754915114417,0.000235485709527754,0.0450683419465426
"hsa-miR-92a-3p",82.6007010526191,2.25731202980102,0.686670138179958,3.28733099677831,0.0010114187710638,0.0898717822288118
"hsa-miR-95-3p",14.1222938645284,2.67250123837051,0.797357632063092,3.35169706904999,0.000803178519706157,0.0850683007801981
