"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-10526-3p",272.550656596872,1.02982800911826,0.311507101592283,3.30595355243668,0.000946537767193768,0.0857968876120637
"hsa-miR-11400",12.7111984031121,2.73046309927464,0.796717602951345,3.42714041858742,0.00060997356113638,0.0645047040901722
"hsa-miR-1243",14.1983758028706,-2.26558828496118,0.650914857529945,-3.48062155710887,0.000500251768145629,0.0604589994073146
"hsa-miR-137-3p",9.16469001744883,3.39244706041073,0.936391644134533,3.62289334987202,0.000291325960994067,0.0492923526001961
"hsa-miR-193a-3p",81.2347000687616,1.87794117412025,0.572883231800743,3.27805226244329,0.00104526041046126,0.0866581617679711
"hsa-miR-195-3p",24.4490833438406,1.99367047856058,0.558461757854116,3.56993196135979,0.000357073959582181,0.0532739438116505
"hsa-miR-20a-5p",8.68846577071837,5.14994873262349,0.945376942595533,5.44750829069757,5.10803350522663e-08,0.000129641890362652
"hsa-miR-30a-5p",69.2022810109598,2.48212133093488,0.74580023325286,3.32813160986681,0.000874305521160496,0.0821847189890866
"hsa-miR-3160-3p",5.12130128307132,4.0131993828199,1.09199641674347,3.67510306928293,0.000237753413188438,0.0431012973337326
"hsa-miR-3186-5p",22.1651157517734,2.21364260557512,0.662044120658599,3.34364815954109,0.000826845293849254,0.0821847189890866
"hsa-miR-3200-3p",17.8144295635649,-3.21801476373996,0.840721750265852,-3.82768111176185,0.00012935619616887,0.0298460023524175
"hsa-miR-34a-3p",14.9689398483346,3.4182245152695,0.884038097724636,3.86660317475845,0.000110361785742503,0.0282575760842042
"hsa-miR-3614-5p",50.3406032952813,1.77722652595438,0.542706238318974,3.27474865861007,0.00105756020191863,0.0866581617679711
"hsa-miR-3692-3p",19.9647889833603,2.85399620876319,0.6954944499304,4.10354994069154,4.06858576873356e-05,0.0202066506027035
"hsa-miR-4433b-5p",13.3580464454297,3.78126991681581,0.824943918781953,4.58366906007252,4.56887157278931e-06,0.00579789802586964
"hsa-miR-4710",29.2926683451298,1.99411720527597,0.622903234994626,3.2013274185246,0.00136795993573279,0.0946246660998185
"hsa-miR-4718",16.4624830242823,2.95789179291214,0.781251475209198,3.7860943457676,0.000153033591859331,0.0323666046782485
"hsa-miR-4735-3p",9.17148723903936,-2.40646876391645,0.754091806088773,-3.19121457690678,0.00141676017013125,0.0946246660998185
"hsa-miR-5003-5p",14.6770727579662,2.53781940666055,0.737632609803462,3.44049242526946,0.000580656689928388,0.0645047040901722
"hsa-miR-502-5p",7.67140733825431,2.84664923740362,0.723722922061375,3.93334127002019,8.37731664342883e-05,0.0265770370512779
"hsa-miR-504-5p",20.4950968775992,2.61118776336334,0.732722924382167,3.56367690497072,0.000365696038787739,0.0532739438116505
"hsa-miR-513a-3p",7.89659344957569,2.66155514761254,0.654543262124468,4.06627842898247,4.77698595808593e-05,0.0202066506027035
"hsa-miR-551b-5p",26.6512657525073,2.65021532693862,0.661704104739762,4.00513659799784,6.19816534897686e-05,0.0224727766510047
"hsa-miR-5586-3p",11.2214377860053,-2.54991265657927,0.786299290303572,-3.24292885422141,0.00118307749870682,0.0886888453500288
"hsa-miR-5691",18.6879380793298,3.37804894894175,0.806189850033722,4.19014075754048,2.78781462947276e-05,0.0202066506027035
"hsa-miR-652-3p",12.0417465572044,3.04085490961717,0.786878277450209,3.8644540035731,0.000111337967234847,0.0282575760842042
"hsa-miR-655-5p",14.9311108783471,2.52642133238507,0.791253880281101,3.19293389308566,0.00140835184132921,0.0946246660998185
"hsa-miR-6715a-3p",12.937229805556,2.17487770645906,0.585390287476312,3.71526100276658,0.000202994053214328,0.039630685158305
"hsa-miR-6749-3p",23.6929320981717,2.46155389241766,0.69239993702118,3.55510415412178,0.00037782938873511,0.0532739438116505
"hsa-miR-6778-5p",26.8068334031648,1.75726378668169,0.496284615633283,3.54083872706659,0.000398857295136871,0.0532789376345989
"hsa-miR-6779-5p",162.715724348501,1.98785517646879,0.619946291664155,3.20649579358348,0.00134362269334146,0.0946246660998185
"hsa-miR-6792-5p",9.35412312889157,2.7113719180919,0.78913007638929,3.43589985886476,0.000590589228359239,0.0645047040901722
"hsa-miR-6809-5p",10.0612177324552,-2.42204835842088,0.739668533756853,-3.27450506258397,0.0010584724250619,0.0866581617679711
"hsa-miR-6829-5p",12.1728456587245,2.18750956111902,0.674799151448196,3.2417194900503,0.00118810903936209,0.0886888453500288
"hsa-miR-6844",18.3626222910316,-2.05905625548752,0.58531274549145,-3.5178736006486,0.000435019518325201,0.055203976875468
"hsa-miR-7160-3p",6.53032283123263,-2.66216520145591,0.817591097263069,-3.25610835339041,0.00112950638169217,0.0886888453500288
"hsa-miR-7162-3p",22.6604333520503,-1.94491431900919,0.583530461126716,-3.33301249647505,0.000859110835649174,0.0821847189890866
"hsa-miR-7856-5p",13.6621823426661,4.02800948635973,0.981297517810148,4.10477904331052,4.04701505937966e-05,0.0202066506027035
