"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-10527-5p",58.174554816847,-2.64473369357821,0.688071704562634,-3.84368907490435,0.000121198542725407,0.0251734397487114
"hsa-miR-124-5p",8.43324095110739,-3.52251238334992,0.858812143355542,-4.1016098929235,4.10285569566068e-05,0.0115700530617631
"hsa-miR-1295b-3p",35.2816926269837,-2.79461565535193,0.600191719949118,-4.65620494662747,3.22091318161419e-06,0.00408733882746841
"hsa-miR-1323",7.77006430303817,-3.69651779066746,0.865564668630965,-4.2706431126794,1.94910098881014e-05,0.00989363661920027
"hsa-miR-145-5p",53.6675189037753,3.34207025747275,0.91187491156933,3.66505341365415,0.000247286967589324,0.0348674624300947
"hsa-miR-181a-2-3p",15.0850097213587,-2.14528459056328,0.651745743830481,-3.29159739188303,0.000996201161754849,0.0815599531785099
"hsa-miR-181a-5p",285.437439531787,2.16583467784103,0.649062917394447,3.33686399237751,0.000847294000121052,0.0719343084968123
"hsa-miR-1911-5p",48.2707482356302,-2.74986927570197,0.64326216149659,-4.27488112980907,1.91239299832142e-05,0.00989363661920027
"hsa-miR-20a-5p",8.68846577071837,3.36108054148847,0.970607135800058,3.46286403377612,0.000534458395210998,0.0543355477958837
"hsa-miR-3139",299.982063084346,-1.65683188968885,0.518955105671684,-3.19263048302495,0.00140983231910726,0.099393178497062
"hsa-miR-3159",23.7616109945169,-1.9976687786321,0.573495772375062,-3.4833191016544,0.000495237685194787,0.0543355477958837
"hsa-miR-3175",18.6192062681554,2.62772814047852,0.626458814543582,4.19457445481551,2.73384344003131e-05,0.00992980745422362
"hsa-miR-346",23.6259495713033,-2.24414380400032,0.622020390049397,-3.60782996811745,0.000308768723935325,0.0412450011235713
"hsa-miR-3609",8.63608268962114,-2.24665627751873,0.693104598439862,-3.24143900152418,0.0011892788284832,0.0887761666673634
"hsa-miR-369-3p",36.0108577013151,2.52997443864801,0.742534688568986,3.4072138010465,0.000656296962737569,0.0594886318367125
"hsa-miR-3928-5p",19.1354454368328,-2.58464445748244,0.702432296950542,-3.67956380807533,0.000233633228045104,0.0348674624300947
"hsa-miR-3977",22.0709301896641,-2.16358879244088,0.570978038931633,-3.78926796639886,0.000151091863762041,0.0255647433485374
"hsa-miR-4485-3p",25.2152204516818,-2.2051071472985,0.63854942867455,-3.45330689884992,0.00055375860706998,0.0543355477958837
"hsa-miR-454-5p",10.9517493148923,-3.24468386720196,0.773617513979813,-4.19417064449581,2.73871757996711e-05,0.00992980745422362
"hsa-miR-4655-3p",60.1297963333228,-2.38458180947463,0.625843441251075,-3.81018902220625,0.000138860581750181,0.0251734397487114
"hsa-miR-4659a-3p",37.9967026906819,-1.54711673334909,0.481960338774678,-3.21004989182811,0.00132711935187493,0.0962351118588163
"hsa-miR-4707-5p",129.397913033619,-1.58530375422649,0.486905354538974,-3.25587660815013,0.00113042867112839,0.0869402414340565
"hsa-miR-4746-3p",19.612455698677,-2.34746736306007,0.657633247223219,-3.56956916787888,0.000357568801420615,0.0432147437145486
"hsa-miR-493-5p",17.7849916203721,-2.27528715169575,0.657765763777114,-3.45911459214642,0.000541954277000673,0.0543355477958837
"hsa-miR-5011-3p",6.39440807638003,-3.96106783762173,0.815583725062298,-4.8567274160837,1.1934170111662e-06,0.00302889237433982
"hsa-miR-513a-3p",7.89659344957569,2.76410011658117,0.671758261006481,4.11472441357071,3.87642265586958e-05,0.0115700530617631
"hsa-miR-631",82.8534945564132,-2.45558381667912,0.560999592204655,-4.3771579352295,1.20236851114423e-05,0.00989363661920027
"hsa-miR-6500-5p",20.3094933022102,2.01440831102345,0.588842433255228,3.42096322761155,0.000623997687616785,0.0586557826359778
"hsa-miR-661",21.7890512182971,-2.17693463947166,0.652581099967405,-3.33588367726309,0.000850287334477687,0.0719343084968123
"hsa-miR-6739-3p",16.5397377982857,-2.69928845600125,0.71998878610593,-3.74907013566196,0.00017749144720484,0.0281545808128677
"hsa-miR-6792-5p",9.35412312889157,3.1587000063016,0.812320494766026,3.88848985917979,0.000100869884056297,0.0238191010605
"hsa-miR-6818-5p",8.30604521293264,-3.68940329787007,0.967980469646699,-3.81144394288932,0.00013815738879321,0.0251734397487114
"hsa-miR-6843-3p",9.29174593451052,-2.63019201218547,0.677385173017278,-3.8828603237207,0.000103234874572695,0.0238191010605
"hsa-miR-6849-3p",23.4679321294093,-2.26474969876361,0.63189240598443,-3.58407487938605,0.000338275038164083,0.0429271023430221
"hsa-miR-7161-5p",47.8582839920098,-1.65876410762271,0.506839064118574,-3.2727629440075,0.00106501759462686,0.0844692079738428
"hsa-miR-937-3p",83.7610790998298,-2.27615398315712,0.65938931469211,-3.45191214422382,0.000556628937231275,0.0543355477958837
