mid,post,min75
RBM26,PAK3,EPC2
RAVER2,TXNDC8,ARMCX6
RREB1,PSG4,PPY
SNX25,GPR61,FAM83C
ATXN2L,ZNF367,SCAI
CTNNA3,CELSR2,ARMCX2
TMEM65,KCNK10,TMEM115
SIK1B,CENPB,AC114982.2
NAB2,BPY2B,OGT
MITF,BPY2C,APCDD1L
SWT1,BPY2,RBM25
WBP1L,PFN2,ARMCX3
NPIPB3,ERV3-1,SERPINA9
INPP5A,AL391628.1,RBMS1
MUC4,AC003002.2,CAPZA1
TCTEX1D2,PAXBP1,NCR3LG1
DIPK2A,TRIM71,PTCHD4
MEIS1,NEFL,FXR1
SLC30A4,OAS1,NFKBIZ
USP30,DUSP10,MOSPD2
GATAD2B,SPDYE3,C14orf28
ERVV-2,CDC6,PGR
KDM7A,TMPO,CCER1
PTPN12,GATAD2B,ZNF540
ADAMTS19,S100PBP,EDEM3
FNDC5,TOP2B,MRPL42
MTAP,AC137834.1,KCNIP2
VARS1,NCR3LG1,RAB11A
CHD9,PPP1R3F,SLC35A3
SPIN1,OLIG3,MIPOL1
RHOBTB1,PPP2CA,KMT5A
XRCC4,FIGNL2,NOL10
SLC12A2,CYRIB,ATG5
NUP58,RELA,FOXJ3
ITSN1,NOVA2,TSG101
CYYR1,RALGPS2,MAT2A
BPY2C,TIMP3,LHX8
DR1,MAL2,HNRNPA1
DMRT3,ERVFRD-1,CAND2
BPY2B,ATRX,PCNX4
CSNK1G3,ZNF474,YPEL5
CA7,CHRDL1,KIDINS220
BPY2,PTPN4,ERVV-2
EFNA3,NRK,MAGEC1
INO80D,NSMCE3,SRRD
EPHA7,CCL1,CLEC12A
KDM6A,THY1,ZDHHC21
CDC20B,NMNAT3,DNAJC24
SCAF1,USB1,EPC1
GUCY1A2,CDC27,CHD9
MBD2,DDI2,LCMT2
NOVA1,CTNNBIP1,GLP2R
SOX11,LIN28B,OR51I2
ZNF710,C14orf28,NRCAM
BAZ1A,GID4,TMEM239
MED13,CNKSR2,FZD3
ZCCHC2,RECK,JRK
KLF12,PPP2R5C,ZPLD1
AHCYL2,LRP6,NCBP3
CXXC4,CERS2,SPRED1
MARCHF8,IFITM10,ST6GALNAC5
UNC79,SKI,TMCO1
HEY2,PDCD4,ATP8B3
TNFRSF25,SACS,MARK3
SH3BP4,GRIN2D,FGG
SNRK,ARID3B,ELMOD1
AHCYL1,PPP2CB,AL121594.1
PPP4R2,DIO1,MGAT4C
TDRD7,GPR26,ZNF281
LRRTM3,GABPB2,TP53TG3F
SLC35A1,PRRC2C,CRYZL1
PDLIM3,FGF12,KIN
ESRRA,HLA-DQA2,PEG3
VASH2,FXR2,MEGF9
NLRP10,ZDHHC11B,MAN2B2
PDE6D,SPDYE17,TBC1D15
PCDH9,ZNF583,GOLM2
SOX6,HTR2A,ZBTB20
UNC5C,NOVA1,PATZ1
KLHL10,STMN2,DSG2
SP4,BTG1,MRTFB
YBX1,PSMA3,UBR3
DCDC2,TMEM184C,ZIC5
SMAD2,C1QBP,ZNF853
RGS6,FGF18,AC104389.5
NCR3LG1,CLCN5,PHIP
HMGN3,PCGF6,BTN3A1
LRRC10B,DPYSL2,METAP2
LCMT1,CLYBL,FAXC
STOX2,SP4,GASK1B
LPP,PURA,ABL2
DDX5,PELI1,CCR1
MPP1,EVPLL,ZC3H14
POU6F2,KIDINS220,VEGFD
NFATC2,NR2F2,BCAS2
ZFP36L2,KLK4,CEP350
BCAP29,MYO1A,BICRAL
TFAP2A,SPAAR,ACSL6
APPL2,PLP2,FRRS1
ZNF326,REV3L,SLCO2B1
CCNI,PPP2R5A,FOXJ1
KIAA1671,FAM214B,E2F2
MAML1,USP31,HELLS
AP3S1,RBMS1,TRIM47
VPS37A,STAG2,GPR173
AHR,OR6C4,CABYR
ING3,IGDCC3,C12orf50
PTPN2,PTGFRN,MXI1
SERP1,SOX5,TYRO3
PTGFRN,RNF24,KITLG
ZC3H14,BRWD1,OR6C75
KCNMB2,TTN,RSBN1
P2RX2,ZBTB7C,MAX
CHST9,SUSD6,CAMSAP2
EPHA5,SCML2,CBL
ESRRG,GABRG2,C5orf24
SYT16,KDM7A,KCNAB3
PRR16,PCDH9,EREG
FLRT2,VIPAS39,AL022238.3
PPP1R21,ZNF83,AKAIN1
XPO4,GSTM2,MEIOC
NEUROD4,FRS2,TRMT9B
COL25A1,TET2,CCNT1
RSRC2,SPICE1,SRP14
TRIM71,PDIK1L,HCN1
HLF,ACVR2A,NTRK3
CNTN3,CYSTM1,YWHAZ
NCOA2,MICB,CAND1
LMBR1L,PTPN12,FAM241A
QKI,STIM2,GEN1
NXT2,ARMCX2,DPH5
WAPL,TTC7B,TTC9
ZBTB21,ELAVL2,UBE2E3
FAM167A,GNAQ,GGT7
DENND1B,YOD1,AK2
OTUD7B,LRFN3,KNCN
ELOVL1,HLA-DQA1,GSK3B
PRADC1,CEP97,DYNC2LI1
JAK2,ARHGAP21,PCARE
FAM98A,RLF,PDP2
NXPH2,MYCBP,RHOU
MAPKAPK2,GNG5,ZNF324
HNRNPDL,CD200,BACH2
NCKAP1,NFIB,PSMB9
PLEKHM3,MBNL1,ACVR2A
PDE10A,RBFOX2,RTL6
TMX1,MTAP,PROX2
LURAP1L,GRIP1,ARID2
C6orf47,UBXN2B,SGPP1
NFYB,PKD2,LIPA
AK7,CD2AP,HNRNPD
POU2F1,ELP4,SERF1B
MRPS33,LIMCH1,ACTR3C
RC3H2,FAM110D,CD8B
PHF6,SREK1IP1,BCL2L11
GLIPR1L1,EPHA5,FNBP1
CCSER1,TMEM260,MAGI1
MED11,SLAIN1,FUT9
GPCPD1,IL12A,ITPRID2
NCKAP5,SLC2A14,MDGA2
FYN,ACADVL,CCNG2
UST,NTN4,PDGFD
ABHD6,MCOLN3,VAMP8
ARID4B,DDX56,FSD1L
MMP16,GJD2,AL513165.2
CTNNB1,JAZF1,OR11A1
ZBTB7B,DENND11,SV2C
RBPJ,C12orf56,ZNF131
