Time Point,GO Biological Process Complete Term,Bonferroni,Fold Enrichment
Mid-AAE,dendrite morphogenesis,0.0000108,2.12
Mid-AAE,regulation of stem cell differentiation,0.0000153,2
Mid-AAE,dendrite development,0.0000163,1.83
Mid-AAE,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.0000798,2.77
Mid-AAE,positive regulation of mRNA catabolic process,0.000219,1.86
Mid-AAE,protein dephosphorylation,0.000273,1.88
Mid-AAE,post-embryonic development,0.000833,1.81
Mid-AAE,ventricular septum development,0.000931,1.92
Mid-AAE,regulation of miRNA metabolic process,0.00180,1.84
Mid-AAE,forelimb morphogenesis,0.00422,2.2
Mid-AAE,"regulation of alternative mRNA splicing, via spliceosome",0.00882,1.96
Mid-AAE,cardiac muscle tissue growth,0.0100,2.22
Mid-AAE,negative regulation of BMP signaling pathway,0.0139,1.92
Mid-AAE,regulation of miRNA transcription,0.0152,1.82
Mid-AAE,endocardial cushion morphogenesis,0.0172,2.12
Mid-AAE,striated muscle cell proliferation,0.0179,2.16
Mid-AAE,endocardial cushion development,0.0181,1.98
Mid-AAE,heart growth,0.0363,2.1
Mid-AAE,regulation of cardiac muscle cell proliferation,0.0374,2.13
Mid-AAE,embryonic forelimb morphogenesis,0.0476,2.21
Post-AAE,regulation of translational initiation,0.00000213,2.06
Post-AAE,regulation of miRNA metabolic process,0.000338,1.91
Post-AAE,cardiac muscle cell contraction,0.000730,2.13
Post-AAE,cardiac muscle cell differentiation,0.000946,1.85
Post-AAE,cardiac muscle cell action potential,0.00110,2.07
Post-AAE,regulation of miRNA transcription,0.00121,1.94
Post-AAE,dendrite morphogenesis,0.00135,2.01
Post-AAE,heart contraction,0.00140,1.8
Post-AAE,cardiac muscle cell action potential involved in contraction,0.00290,2.15
Post-AAE,regulation of vascular associated smooth muscle cell migration,0.00307,2.56
Post-AAE,cardiac cell development,0.00504,1.92
Post-AAE,regulation of cardiac muscle contraction by calcium ion signaling,0.00518,2.37
Post-AAE,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,0.00566,2.33
Post-AAE,positive regulation of miRNA transcription,0.00632,2.03
Post-AAE,cardiac muscle contraction,0.0108,1.8
Post-AAE,positive regulation of miRNA metabolic process,0.0148,1.94
Post-AAE,negative regulation of muscle cell differentiation,0.0196,1.93
Post-AAE,cardiac septum morphogenesis,0.0244,1.83
Post-AAE,cardiac conduction,0.0260,1.88
Post-AAE,positive regulation of translational initiation,0.0294,2.32
75 minutes Post-AAE,plasma membrane bounded cell projection morphogenesis,0.0000000000124,1.72
75 minutes Post-AAE,cell projection morphogenesis,0.0000000000305,1.7
75 minutes Post-AAE,neuron projection morphogenesis,0.0000000000375,1.7
75 minutes Post-AAE,cell morphogenesis involved in neuron differentiation,0.00000000344,1.68
75 minutes Post-AAE,dendrite development,0.000163,2.09
75 minutes Post-AAE,dendrite morphogenesis,0.000634,2.41
75 minutes Post-AAE,negative regulation of translation,0.00180,1.93
75 minutes Post-AAE,negative regulation of secretion,0.00225,1.81
75 minutes Post-AAE,regulation of postsynaptic membrane neurotransmitter receptor levels,0.00937,2.21
75 minutes Post-AAE,developmental cell growth,0.0103,1.93
75 minutes Post-AAE,regulation of cell size,0.0116,1.73
75 minutes Post-AAE,positive regulation of mRNA catabolic process,0.0120,2.06
75 minutes Post-AAE,RNA destabilization,0.0123,2.11
75 minutes Post-AAE,cardiac septum development,0.0125,1.94
75 minutes Post-AAE,cell growth,0.0218,1.9
75 minutes Post-AAE,negative regulation of secretion by cell,0.0228,1.8
75 minutes Post-AAE,mRNA destabilization,0.0281,2.1
75 minutes Post-AAE,positive regulation of cytoskeleton organization,0.0359,1.69
75 minutes Post-AAE,post-embryonic development,0.0410,1.97
75 minutes Post-AAE,regulation of axonogenesis,0.0462,1.78
