I.No	gene_symbol	gene_ensembl_id	mirna_name	mirna_db_id	interaction_score
1	PAK3	ENSG00000077264	hsa-miR-6127	MIMAT0024610	0.999999754142901
2	TXNDC8	ENSG00000204193	hsa-miR-6127	MIMAT0024610	0.999999639721234
3	PSG4	ENSG00000243137	hsa-miR-7855-5p	MIMAT0030430	0.999999483497406
4	GPR61	ENSG00000156097	hsa-miR-1911-5p	MIMAT0007885	0.999999138323752
5	ZNF367	ENSG00000165244	hsa-miR-21-5p	MIMAT0000076	0.999998477504053
6	CELSR2	ENSG00000143126	hsa-miR-224-5p	MIMAT0000281	0.999997253758294
7	KCNK10	ENSG00000100433	hsa-miR-183-5p	MIMAT0000261	0.999994943084261
8	CENPB	ENSG00000125817	hsa-miR-4687-3p	MIMAT0019775	0.999993167701731
9	BPY2B	ENSG00000183795	hsa-miR-7855-5p	MIMAT0030430	0.999992188634763
10	BPY2C	ENSG00000185894	hsa-miR-7855-5p	MIMAT0030430	0.999992188634763
11	BPY2	ENSG00000183753	hsa-miR-7855-5p	MIMAT0030430	0.999992056651984
12	PFN2	ENSG00000070087	hsa-miR-183-5p	MIMAT0000261	0.99999077902452
13	ERV3-1	ENSG00000213462	hsa-miR-4687-3p	MIMAT0019775	0.999989466708246
14	AL391628.1	ENSG00000288674	hsa-miR-183-5p	MIMAT0000261	0.99997903840069
15	AC003002.2	ENSG00000268533	hsa-miR-661	MIMAT0003324	0.999978945442602
16	PAXBP1	ENSG00000159086	hsa-miR-661	MIMAT0003324	0.999975743962302
17	TRIM71	ENSG00000206557	hsa-miR-4458	MIMAT0018980	0.999974162501529
18	NEFL	ENSG00000277586	hsa-miR-183-5p	MIMAT0000261	0.999971942152892
19	OAS1	ENSG00000089127	hsa-miR-6127	MIMAT0024610	0.999971269165864
20	DUSP10	ENSG00000143507	hsa-miR-183-5p	MIMAT0000261	0.999962641030537
21	SPDYE3	ENSG00000214300	hsa-miR-6783-5p	MIMAT0027466	0.999962495871241
22	CDC6	ENSG00000094804	hsa-miR-7157-3p	MIMAT0028225	0.999959720460945
23	TMPO	ENSG00000120802	hsa-miR-183-5p	MIMAT0000261	0.999956230577212
24	GATAD2B	ENSG00000143614	hsa-miR-21-5p	MIMAT0000076	0.999950921843512
25	S100PBP	ENSG00000116497	hsa-miR-4695-5p	MIMAT0019788	0.999947651942017
26	TOP2B	ENSG00000077097	hsa-miR-7157-3p	MIMAT0028225	0.999938625495762
27	AC137834.1	ENSG00000258830	hsa-miR-7157-3p	MIMAT0028225	0.999926457707994
28	NCR3LG1	ENSG00000188211	hsa-miR-4695-5p	MIMAT0019788	0.999922291057428
29	PPP1R3F	ENSG00000049769	hsa-miR-4687-3p	MIMAT0019775	0.999909676775902
30	OLIG3	ENSG00000177468	hsa-miR-5008-5p	MIMAT0021039	0.999907934078786
31	OAS1	ENSG00000089127	hsa-miR-6758-5p	MIMAT0027416	0.999903120340194
32	PPP2CA	ENSG00000113575	hsa-miR-183-5p	MIMAT0000261	0.999876349607071
33	FIGNL2	ENSG00000261308	hsa-miR-4458	MIMAT0018980	0.999872414609059
34	CYRIB	ENSG00000153310	hsa-miR-224-5p	MIMAT0000281	0.999838520037544
35	RELA	ENSG00000173039	hsa-miR-765	MIMAT0003945	0.999821304853172
36	NOVA2	ENSG00000104967	hsa-miR-765	MIMAT0003945	0.999818464419965
37	RALGPS2	ENSG00000116191	hsa-miR-21-5p	MIMAT0000076	0.999816709805082
38	TIMP3	ENSG00000100234	hsa-miR-765	MIMAT0003945	0.999814978308623
39	MAL2	ENSG00000147676	hsa-miR-183-5p	MIMAT0000261	0.99980872405093
40	ERVFRD-1	ENSG00000244476	hsa-miR-4687-3p	MIMAT0019775	0.999802090797465
41	ATRX	ENSG00000085224	hsa-miR-6758-5p	MIMAT0027416	0.999792373659445
42	ZNF474	ENSG00000164185	hsa-miR-4687-3p	MIMAT0019775	0.999779739396774
43	CHRDL1	ENSG00000101938	hsa-miR-765	MIMAT0003945	0.999769072848291
44	PTPN4	ENSG00000088179	hsa-miR-183-5p	MIMAT0000261	0.999751566226598
45	NRK	ENSG00000123572	hsa-miR-7157-3p	MIMAT0028225	0.999744669734223
46	NSMCE3	ENSG00000185115	hsa-miR-6783-5p	MIMAT0027466	0.999737965094603
