I.No	gene_symbol	gene_ensembl_id	mirna_name	mirna_db_id	interaction_score
1	RBM26	ENSG00000139746	hsa-miR-380-3p	MIMAT0000735	0.999997554427791
2	RAVER2	ENSG00000162437	hsa-miR-137-3p	MIMAT0000429	0.999997185306059
3	RREB1	ENSG00000124782	hsa-miR-137-3p	MIMAT0000429	0.999994157129339
4	SNX25	ENSG00000109762	hsa-miR-137-3p	MIMAT0000429	0.999993721031741
5	ATXN2L	ENSG00000168488	hsa-miR-380-3p	MIMAT0000735	0.999984765081933
6	CTNNA3	ENSG00000183230	hsa-miR-137-3p	MIMAT0000429	0.999981941743219
7	TMEM65	ENSG00000164983	hsa-miR-542-3p	MIMAT0003389	0.999979608337883
8	SIK1B	ENSG00000275993	hsa-miR-137-3p	MIMAT0000429	0.999969415904127
9	NAB2	ENSG00000166886	hsa-miR-137-3p	MIMAT0000429	0.999963051566706
10	MITF	ENSG00000187098	hsa-miR-137-3p	MIMAT0000429	0.999951690469188
11	SWT1	ENSG00000116668	hsa-miR-137-3p	MIMAT0000429	0.99994696107481
12	WBP1L	ENSG00000166272	hsa-miR-137-3p	MIMAT0000429	0.99994329488175
13	NPIPB3	ENSG00000169246	hsa-miR-137-3p	MIMAT0000429	0.999942158677991
14	INPP5A	ENSG00000068383	hsa-miR-137-3p	MIMAT0000429	0.999935973825563
15	MUC4	ENSG00000145113	hsa-miR-542-3p	MIMAT0003389	0.999932042361055
16	TCTEX1D2	ENSG00000213123	hsa-miR-7154-5p	MIMAT0028218	0.999901158389326
17	DIPK2A	ENSG00000181744	hsa-miR-137-3p	MIMAT0000429	0.999897275399351
18	MEIS1	ENSG00000143995	hsa-miR-3618	MIMAT0017998	0.999892919038847
19	SLC30A4	ENSG00000104154	hsa-miR-137-3p	MIMAT0000429	0.999880356291914
20	USP30	ENSG00000135093	hsa-miR-137-3p	MIMAT0000429	0.999852783037853
21	GATAD2B	ENSG00000143614	hsa-miR-4496	MIMAT0019031	0.999806833326606
22	ERVV-2	ENSG00000268964	hsa-miR-7154-5p	MIMAT0028218	0.999790167046885
23	KDM7A	ENSG00000006459	hsa-miR-137-3p	MIMAT0000429	0.999785394267369
24	PTPN12	ENSG00000127947	hsa-miR-380-3p	MIMAT0000735	0.999776163245523
25	ADAMTS19	ENSG00000145808	hsa-miR-380-3p	MIMAT0000735	0.999772646615167
26	FNDC5	ENSG00000160097	hsa-miR-137-3p	MIMAT0000429	0.999737250674537
27	MTAP	ENSG00000099810	hsa-miR-5007-5p	MIMAT0021035	0.999733333564498
28	VARS1	ENSG00000204394	hsa-miR-137-3p	MIMAT0000429	0.999731374900893
29	CHD9	ENSG00000177200	hsa-miR-137-3p	MIMAT0000429	0.999719324581481
30	SPIN1	ENSG00000106723	hsa-miR-3618	MIMAT0017998	0.999714906452484
31	RHOBTB1	ENSG00000072422	hsa-miR-137-3p	MIMAT0000429	0.999695285002553
32	XRCC4	ENSG00000152422	hsa-miR-380-3p	MIMAT0000735	0.999670103092538
33	SLC12A2	ENSG00000064651	hsa-miR-137-3p	MIMAT0000429	0.999654633638127
34	NUP58	ENSG00000139496	hsa-miR-137-3p	MIMAT0000429	0.999631116971594
35	ITSN1	ENSG00000205726	hsa-miR-7154-5p	MIMAT0028218	0.999580243057411
36	CYYR1	ENSG00000166265	hsa-miR-137-3p	MIMAT0000429	0.999561602280014
37	BPY2C	ENSG00000185894	hsa-miR-137-3p	MIMAT0000429	0.999559778506074
38	DR1	ENSG00000117505	hsa-miR-137-3p	MIMAT0000429	0.999554451628937
39	DMRT3	ENSG00000064218	hsa-miR-137-3p	MIMAT0000429	0.999549524913559
40	BPY2B	ENSG00000183795	hsa-miR-137-3p	MIMAT0000429	0.999545855550571
41	CSNK1G3	ENSG00000151292	hsa-miR-137-3p	MIMAT0000429	0.999530982920729
42	CA7	ENSG00000168748	hsa-miR-137-3p	MIMAT0000429	0.999527208979557
43	BPY2	ENSG00000183753	hsa-miR-137-3p	MIMAT0000429	0.999526360143529
44	EFNA3	ENSG00000143590	hsa-miR-5007-5p	MIMAT0021035	0.999525495874919
45	INO80D	ENSG00000114933	hsa-miR-4496	MIMAT0019031	0.999489676343719
46	EPHA7	ENSG00000135333	hsa-miR-137-3p	MIMAT0000429	0.999484684133139
47	KDM6A	ENSG00000147050	hsa-miR-212-5p	MIMAT0022695	0.999476691172486
48	CDC20B	ENSG00000164287	hsa-miR-4496	MIMAT0019031	0.999460436535392
49	SCAF1	ENSG00000126461	hsa-miR-7154-5p	MIMAT0028218	0.99942564506565
50	GUCY1A2	ENSG00000152402	hsa-miR-137-3p	MIMAT0000429	0.999419191203554
51	MBD2	ENSG00000134046	hsa-miR-137-3p	MIMAT0000429	0.999394104366173
52	NOVA1	ENSG00000139910	hsa-miR-3618	MIMAT0017998	0.999382295238876
53	SOX11	ENSG00000176887	hsa-miR-5007-5p	MIMAT0021035	0.999367751518964
54	ZNF710	ENSG00000140548	hsa-miR-137-3p	MIMAT0000429	0.999351591866978
55	BAZ1A	ENSG00000198604	hsa-miR-137-3p	MIMAT0000429	0.999346559064325
56	MED13	ENSG00000108510	hsa-miR-7154-5p	MIMAT0028218	0.999318333472083
57	ZCCHC2	ENSG00000141664	hsa-miR-137-3p	MIMAT0000429	0.999309615492243
58	KLF12	ENSG00000118922	hsa-miR-137-3p	MIMAT0000429	0.999302438745136
59	AHCYL2	ENSG00000158467	hsa-miR-137-3p	MIMAT0000429	0.999291963073196
60	CXXC4	ENSG00000168772	hsa-miR-137-3p	MIMAT0000429	0.999274006493165
61	MARCHF8	ENSG00000165406	hsa-miR-137-3p	MIMAT0000429	0.999250774478506
62	UNC79	ENSG00000133958	hsa-miR-137-3p	MIMAT0000429	0.999235441455607
63	HEY2	ENSG00000135547	hsa-miR-137-3p	MIMAT0000429	0.99921280888902
64	TNFRSF25	ENSG00000215788	hsa-miR-3618	MIMAT0017998	0.999196131506772
65	NOVA1	ENSG00000139910	hsa-miR-1252-3p	MIMAT0026744	0.999193396091938
66	SH3BP4	ENSG00000130147	hsa-miR-4496	MIMAT0019031	0.999175925046602
67	SNRK	ENSG00000163788	hsa-miR-137-3p	MIMAT0000429	0.999173114813867
68	AHCYL1	ENSG00000168710	hsa-miR-137-3p	MIMAT0000429	0.999152484785199
69	PPP4R2	ENSG00000163605	hsa-miR-137-3p	MIMAT0000429	0.999105137864786
70	TDRD7	ENSG00000196116	hsa-miR-137-3p	MIMAT0000429	0.999104721544944
71	LRRTM3	ENSG00000198739	hsa-miR-7154-5p	MIMAT0028218	0.999024853208417
72	SLC35A1	ENSG00000164414	hsa-miR-137-3p	MIMAT0000429	0.998990881172776
73	PDLIM3	ENSG00000154553	hsa-miR-137-3p	MIMAT0000429	0.998949878331015
74	ESRRA	ENSG00000173153	hsa-miR-137-3p	MIMAT0000429	0.998946691494005
75	VASH2	ENSG00000143494	hsa-miR-137-3p	MIMAT0000429	0.998946357785249
76	NLRP10	ENSG00000182261	hsa-miR-7154-5p	MIMAT0028218	0.998939191185738
77	PDE6D	ENSG00000156973	hsa-miR-380-3p	MIMAT0000735	0.998918141566377
78	PCDH9	ENSG00000184226	hsa-miR-4496	MIMAT0019031	0.9989153405828
79	SOX6	ENSG00000110693	hsa-miR-7154-5p	MIMAT0028218	0.998911194031062
80	UNC5C	ENSG00000182168	hsa-miR-4496	MIMAT0019031	0.998902633996821
81	KLHL10	ENSG00000161594	hsa-miR-137-3p	MIMAT0000429	0.998886596988657
82	SP4	ENSG00000105866	hsa-miR-137-3p	MIMAT0000429	0.998834016395433
83	YBX1	ENSG00000065978	hsa-miR-137-3p	MIMAT0000429	0.998832818719593
84	DCDC2	ENSG00000146038	hsa-miR-137-3p	MIMAT0000429	0.998828636506446
85	SMAD2	ENSG00000175387	hsa-miR-4496	MIMAT0019031	0.998828169357322
86	RGS6	ENSG00000182732	hsa-miR-137-3p	MIMAT0000429	0.998805937067593
87	NCR3LG1	ENSG00000188211	hsa-miR-329-5p	MIMAT0026555	0.998783648588007
88	HMGN3	ENSG00000118418	hsa-miR-137-3p	MIMAT0000429	0.998774493252407
89	LRRC10B	ENSG00000204950	hsa-miR-137-3p	MIMAT0000429	0.998772961124375
90	LCMT1	ENSG00000205629	hsa-miR-6780a-3p	MIMAT0027461	0.998742176808776
91	STOX2	ENSG00000173320	hsa-miR-7154-5p	MIMAT0028218	0.998722968100989
92	LPP	ENSG00000145012	hsa-miR-380-3p	MIMAT0000735	0.998685838859481
93	DDX5	ENSG00000108654	hsa-miR-380-3p	MIMAT0000735	0.998681783573024
94	MPP1	ENSG00000130830	hsa-miR-137-3p	MIMAT0000429	0.998636823111272
95	POU6F2	ENSG00000106536	hsa-miR-542-3p	MIMAT0003389	0.998615924301275
96	NFATC2	ENSG00000101096	hsa-miR-137-3p	MIMAT0000429	0.998607887215055
97	ZFP36L2	ENSG00000152518	hsa-miR-137-3p	MIMAT0000429	0.998572781537403
98	BCAP29	ENSG00000075790	hsa-miR-380-3p	MIMAT0000735	0.998534987678806
99	TFAP2A	ENSG00000137203	hsa-miR-137-3p	MIMAT0000429	0.998500076914481
100	APPL2	ENSG00000136044	hsa-miR-137-3p	MIMAT0000429	0.99844084595914
101	ZNF326	ENSG00000162664	hsa-miR-137-3p	MIMAT0000429	0.998437258862913
102	CCNI	ENSG00000118816	hsa-miR-137-3p	MIMAT0000429	0.998421058556124
103	KIAA1671	ENSG00000197077	hsa-miR-137-3p	MIMAT0000429	0.998375512316853
104	MAML1	ENSG00000161021	hsa-miR-137-3p	MIMAT0000429	0.998374488156327
105	AP3S1	ENSG00000177879	hsa-miR-137-3p	MIMAT0000429	0.998360254692079
106	VPS37A	ENSG00000155975	hsa-miR-137-3p	MIMAT0000429	0.99835234863719
107	AHR	ENSG00000106546	hsa-miR-380-3p	MIMAT0000735	0.998341117206574
108	ING3	ENSG00000071243	hsa-miR-137-3p	MIMAT0000429	0.998325991867106
109	PTPN2	ENSG00000175354	hsa-miR-137-3p	MIMAT0000429	0.998274924241002
110	SERP1	ENSG00000120742	hsa-miR-137-3p	MIMAT0000429	0.998235188628917
111	PTGFRN	ENSG00000134247	hsa-miR-137-3p	MIMAT0000429	0.998234217319307
112	ZC3H14	ENSG00000100722	hsa-miR-148a-5p	MIMAT0004549	0.998233691128526
113	KCNMB2	ENSG00000197584	hsa-miR-137-3p	MIMAT0000429	0.998196043008314
114	BAZ1A	ENSG00000198604	hsa-miR-7154-5p	MIMAT0028218	0.998169931640156
115	P2RX2	ENSG00000187848	hsa-miR-7154-5p	MIMAT0028218	0.998147943242641
116	CHST9	ENSG00000154080	hsa-miR-137-3p	MIMAT0000429	0.998132163942467
117	EPHA5	ENSG00000145242	hsa-miR-1252-3p	MIMAT0026744	0.998110348727758
118	ESRRG	ENSG00000196482	hsa-miR-137-3p	MIMAT0000429	0.998046384727845
119	SYT16	ENSG00000139973	hsa-miR-7154-5p	MIMAT0028218	0.997997251109139
120	PRR16	ENSG00000184838	hsa-miR-137-3p	MIMAT0000429	0.997989738975385
121	FLRT2	ENSG00000185070	hsa-miR-4496	MIMAT0019031	0.997966446936655
122	PPP1R21	ENSG00000162869	hsa-miR-7154-5p	MIMAT0028218	0.997956491210647
123	XPO4	ENSG00000132953	hsa-miR-137-3p	MIMAT0000429	0.997951285929263
124	NEUROD4	ENSG00000123307	hsa-miR-137-3p	MIMAT0000429	0.997924340466775
125	COL25A1	ENSG00000188517	hsa-miR-7154-5p	MIMAT0028218	0.997863048626572
126	FLRT2	ENSG00000185070	hsa-miR-1252-3p	MIMAT0026744	0.997805983577883
127	RSRC2	ENSG00000111011	hsa-miR-7154-5p	MIMAT0028218	0.997804854159535
128	TRIM71	ENSG00000206557	hsa-miR-212-5p	MIMAT0022695	0.997746257085099
129	HLF	ENSG00000108924	hsa-miR-137-3p	MIMAT0000429	0.997736674750034
130	CNTN3	ENSG00000113805	hsa-miR-380-3p	MIMAT0000735	0.997721614756342
131	NCOA2	ENSG00000140396	hsa-miR-137-3p	MIMAT0000429	0.997706690937904
132	LMBR1L	ENSG00000139636	hsa-miR-137-3p	MIMAT0000429	0.997692083811187
133	QKI	ENSG00000112531	hsa-miR-137-3p	MIMAT0000429	0.997643541908801
134	NXT2	ENSG00000101888	hsa-miR-137-3p	MIMAT0000429	0.997617425699765
135	WAPL	ENSG00000062650	hsa-miR-7154-5p	MIMAT0028218	0.997569330077799
136	ZBTB21	ENSG00000173276	hsa-miR-137-3p	MIMAT0000429	0.997550971207502
137	FAM167A	ENSG00000154319	hsa-miR-380-3p	MIMAT0000735	0.997535592730592
138	DENND1B	ENSG00000213047	hsa-miR-137-3p	MIMAT0000429	0.997506894638485
139	OTUD7B	ENSG00000264522	hsa-miR-137-3p	MIMAT0000429	0.997498403555298
140	ELOVL1	ENSG00000066322	hsa-miR-137-3p	MIMAT0000429	0.997483850204709
141	PRADC1	ENSG00000135617	hsa-miR-137-3p	MIMAT0000429	0.997452631712642
142	JAK2	ENSG00000096968	hsa-miR-380-3p	MIMAT0000735	0.997433926959303
143	FAM98A	ENSG00000119812	hsa-miR-137-3p	MIMAT0000429	0.997420569528887
