I.No	gene_symbol	gene_ensembl_id	mirna_name	mirna_db_id	interaction_score
1	EPC2	ENSG00000135999	hsa-miR-3682-3p	MIMAT0018110	0.9999985995769
2	ARMCX6	ENSG00000198960	hsa-miR-3682-3p	MIMAT0018110	0.999980786629662
3	PPY	ENSG00000108849	hsa-miR-7851-3p	MIMAT0030426	0.999941355204024
4	FAM83C	ENSG00000125998	hsa-miR-3682-3p	MIMAT0018110	0.999925587262082
5	SCAI	ENSG00000173611	hsa-miR-3682-3p	MIMAT0018110	0.999911542327046
6	ARMCX2	ENSG00000184867	hsa-miR-3682-3p	MIMAT0018110	0.999898538459975
7	TMEM115	ENSG00000126062	hsa-miR-7851-3p	MIMAT0030426	0.999789402555129
8	AC114982.2	ENSG00000288643	hsa-miR-3682-3p	MIMAT0018110	0.999685876664615
9	OGT	ENSG00000147162	hsa-miR-7851-3p	MIMAT0030426	0.999636057250027
10	APCDD1L	ENSG00000198768	hsa-miR-3682-3p	MIMAT0018110	0.999533157553034
11	RBM25	ENSG00000119707	hsa-miR-7851-3p	MIMAT0030426	0.999524831261787
12	ARMCX3	ENSG00000102401	hsa-miR-3682-3p	MIMAT0018110	0.999215059124424
13	SERPINA9	ENSG00000170054	hsa-miR-7851-3p	MIMAT0030426	0.998685569437705
14	RBMS1	ENSG00000153250	hsa-miR-649	MIMAT0003319	0.998667910722969
15	CAPZA1	ENSG00000116489	hsa-miR-7851-3p	MIMAT0030426	0.998351170269668
16	NCR3LG1	ENSG00000188211	hsa-miR-7851-3p	MIMAT0030426	0.99820869030814
17	PTCHD4	ENSG00000244694	hsa-miR-3682-3p	MIMAT0018110	0.997788806158515
18	FXR1	ENSG00000114416	hsa-miR-3682-3p	MIMAT0018110	0.997117223728937
19	NFKBIZ	ENSG00000144802	hsa-miR-7851-3p	MIMAT0030426	0.996675726547239
20	MOSPD2	ENSG00000130150	hsa-miR-3682-3p	MIMAT0018110	0.995228413570377
21	C14orf28	ENSG00000179476	hsa-miR-7851-3p	MIMAT0030426	0.994894160570645
22	PGR	ENSG00000082175	hsa-miR-3682-3p	MIMAT0018110	0.99485533894751
23	CCER1	ENSG00000197651	hsa-miR-217-3p	MIMAT0037308	0.993642494151679
24	ZNF540	ENSG00000171817	hsa-miR-3682-3p	MIMAT0018110	0.993481504980152
25	EDEM3	ENSG00000116406	hsa-miR-7851-3p	MIMAT0030426	0.993459346659621
26	MRPL42	ENSG00000198015	hsa-miR-7851-3p	MIMAT0030426	0.993338295882353
27	KCNIP2	ENSG00000120049	hsa-miR-7851-3p	MIMAT0030426	0.993328666905113
28	RAB11A	ENSG00000103769	hsa-miR-7851-3p	MIMAT0030426	0.993105296862581
29	SLC35A3	ENSG00000117620	hsa-miR-3682-3p	MIMAT0018110	0.992950376068387
30	MIPOL1	ENSG00000151338	hsa-miR-3682-3p	MIMAT0018110	0.991768894632084
31	KMT5A	ENSG00000183955	hsa-miR-7851-3p	MIMAT0030426	0.99145928855888
32	NOL10	ENSG00000115761	hsa-miR-649	MIMAT0003319	0.990904917442446
33	ATG5	ENSG00000057663	hsa-miR-7851-3p	MIMAT0030426	0.990254259899618
34	FOXJ3	ENSG00000198815	hsa-miR-217-3p	MIMAT0037308	0.990164848802451
35	TSG101	ENSG00000074319	hsa-miR-3682-3p	MIMAT0018110	0.990005576418431
36	MAT2A	ENSG00000168906	hsa-miR-7851-3p	MIMAT0030426	0.989834392580869
37	LHX8	ENSG00000162624	hsa-miR-7851-3p	MIMAT0030426	0.989714586732566
38	HNRNPA1	ENSG00000135486	hsa-miR-649	MIMAT0003319	0.98969187100225
39	CAND2	ENSG00000144712	hsa-miR-7851-3p	MIMAT0030426	0.989275377053395
40	PCNX4	ENSG00000126773	hsa-miR-3682-3p	MIMAT0018110	0.988566748223798
41	YPEL5	ENSG00000119801	hsa-miR-7851-3p	MIMAT0030426	0.987670224375849
42	KIDINS220	ENSG00000134313	hsa-miR-3682-3p	MIMAT0018110	0.987370393674158
43	EPC2	ENSG00000135999	hsa-miR-7851-3p	MIMAT0030426	0.986959720111358
